Sector,Company_Type,Jobs
Industries agro-alimentaires ,Totalement Exportatrices,NA
Industries agro-alimentaires ,AUTRE,NA
Industries des matériaux de construction céramique et verre ,Totalement Exportatrices,NA
Industries des matériaux de construction céramique et verre ,AUTRE,NA
Industries mécaniques et métallurgiques ,Totalement Exportatrices,NA
Industries mécaniques et métallurgiques ,AUTRE,NA
"Industries électriques, électroniques et de l'électroménager ",Totalement Exportatrices,NA
"Industries électriques, électroniques et de l'électroménager ",AUTRE,NA
Industries chimiques ,Totalement Exportatrices,NA
Industries chimiques ,AUTRE,NA
Industries textiles et habillement ,Totalement Exportatrices,NA
Industries textiles et habillement ,AUTRE,NA
"Industries du bois, du liège et de l'ameublement ",Totalement Exportatrices,NA
"Industries du bois, du liège et de l'ameublement ",AUTRE,NA
Industries du cuir et de la chaussure ,Totalement Exportatrices,NA
Industries du cuir et de la chaussure ,AUTRE,NA
Industries diverses ,Totalement Exportatrices,NA
Industries diverses ,AUTRE,NA
